09180112;Bad Kohlgrub;;; ;;;;;
;;09180134;Uffing a.Staffelsee;15;5;10;X;X;X
;;09180;Übrige Gemeinden (Kreis);59;25;34;56;3;X
;;09180;Garmisch-Partenkirchen;433;190;243;411;22;22
;;09190;Weilheim-Schongau;40;22;18;X;X;3
;;091;Übrige Kreise (Regierungsbezirk);7;4;3;X;X;X
;;091;Oberbayern;492;219;273;469;23;26
;;09;Übrige Regierungsbezirke (Bundesland);4;X;X;X;X;X
;;09;Bayern;496;219;277;473;23;28
;;ZZ;Übrige (Bundes)Länder;7;X;X;X;X;X
;;ZZ;BUNDESGEBIET;503;224;279;480;23;29
;;ZZ;INSGESAMT;503;224;279;480;23;29
;;ZZ;Darunter: EINPENDLER;255;101;154;245;10;16
;;ZZ;  davon: aus den ABL;249;96;153;239;10;16
;;ZZ; davon: aus den NBL;6;X;X;X;X;X
09180128;Riegsee;;; ;;;;;
;;09180124;Murnau a.Staffelsee, Markt;12;4;8;X;X;X
;;09180128;Riegsee;19;9;10;16;3;X
;;09180;Übrige Gemeinden (Kreis);22;13;9;X;X;X
;;09180;Garmisch-Partenkirchen;53;26;27;49;4;3
;;09190;Weilheim-Schongau;18;13;5;X;X;X
;;091;Übrige Kreise (Regierungsbezirk);3;X;X;X;X;X
;;091;Oberbayern;74;42;32;70;4;4
;;09;Übrige Regierungsbezirke (Bundesland);X;X;X;X;X;X
;;09;Bayern;76;42;34;72;4;4
;;ZZ;Übrige (Bundes)Länder;X;X;X;X;X;X
;;ZZ;BUNDESGEBIET;78;44;34;74;4;4
;;ZZ;INSGESAMT;78;44;34;74;4;4
;;ZZ;Darunter: EINPENDLER;59;35;24;X;X;4
;;ZZ;  davon: aus den ABL;57;33;24;X;X;4
;;ZZ; davon: aus den NBL;X;X;X;X;X;X
09180129;Saulgrub;;; ;;;;;
;;09180112;Bad Kohlgrub;50;29;21;45;5;X
;;09180113;Bad Bayersoien;36;20;16;X;X;X
;;09180125;Oberammergau;31;21;10;26;5;X
;;09180129;Saulgrub;95;52;43;X;X;7
;;09180135;Unterammergau;17;12;5;X;X;3
;;09180;Übrige Gemeinden (Kreis);39;28;11;34;5;4
;;09180;Garmisch-Partenkirchen;268;162;106;250;18;20
;;09190140;Peiting, Markt;23;10;13;19;4;X
;;09190148;Schongau, Stadt;12;7;5;X;X;X
;;09190;Übrige Gemeinden (Kreis);45;18;27;42;3;X
;;09190;Weilheim-Schongau;80;35;45;71;9;3
;;091;Übrige Kreise (Regierungsbezirk);7;X;X;X;X;X
;;091;Oberbayern;355;203;152;327;28;23
;;09;Übrige Regierungsbezirke (Bundesland);5;X;X;X;X;X
;;09;Bayern;360;205;155;331;29;23
;;ZZ;Übrige (Bundes)Länder;5;X;X;X;X;X
;;ZZ;BUNDESGEBIET;363;206;157;334;29;23
;;ZZ;INSGESAMT;365;206;159;335;30;23
;;ZZ;Darunter: EINPENDLER;270;154;116;242;28;16
;;ZZ;  davon: aus den ABL;268;154;114;241;27;16
09180131;Schwaigen;;; ;;;;;
;;09180112;Bad Kohlgrub;10;4;6;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;13;4;9;X;X;X
;;09180131;Schwaigen;11;4;7;X;X;X
;;09180;Übrige Gemeinden (Kreis);23;10;13;X;X;X
;;09180;Garmisch-Partenkirchen;57;22;35;X;X;3
;;091;Übrige Kreise (Regierungsbezirk);7;4;3;X;X;X
;;091;Oberbayern;64;26;38;X;X;3
;;09;Übrige Regierungsbezirke (Bundesland);X;X;X;X;X;X
;;09;Bayern;65;26;39;X;X;3
;;ZZ;Übrige (Bundes)Länder;X;X;X;X;X;X
